State,Court,fiscal_year,notes,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Alabama,Circuit,,,,,,,,,,,,,,,,,
Alaska,Superior,,,,,,,,,,,,,,,,,
Arizona,Superior,yes,,,,,,,,,47380,47804,53198,56078,56359,59941,59601,
Arkansas,Circuit,,,,,,,,,,,,,,,,,
California,Superior,,,,,,,,,,,,,,,,,
Colorado,"Dist.,Den. Juv., Den. Prob.",,,,,,,,,,,,,,,,,
Connecticut,Superior,,,,,,,,,,,,,,,,,
Delaware,Superior,,,,,,,,,,,,,,,,,
District of Columbia,Superior,,,,,,,,,,,,,,,,,
Florida,Circuit,,,,,,,,,,,,,,,,,
Georgia,Superior,,,,,,,,,,,,,,,,,
Hawaii,Circuit,,,,,,,,,,,,,,,,,
Idaho,District,,,,,,,,,,,,,,,,,
Illinois,Circuit,,,,,,,,,,,,,,,,,
Indiana,Superior and Circuit,no,felony,,48811,49543,52014,53786,53882,55108,57077,60639,62840,65887,66909,67986,69954,71160
Iowa,District,,,,,,,,,,,,,,,,,
Kansas,District,,,,,,,,,,,,,,,,,
Kentucky,Circuit,,,,,,,,,,,,,,,,,
Louisiana,District,,,,,,,,,,,,,,,,,
Maine,Superior,,,,,,,,,,,,,,,,,
Maine,District,,,,,,,,,,,,,,,,,
Maryland,Circuit,yes,all criminal,,,69753,69121,71770,72123,73680,78028,77750,76379,78322,79763,,,83558
Massachusetts,Superior Court Dept,,,,,,,,,,,,,,,,,
Michigan,Circuit,,,,,,,,,,,,,,,,,
Minnesota,District,,,,,,,,,,,,,,,,,
Missouri,Circuit,,,,,,,,,,,,,,,,,
Nebraska,District,,,,,,,,,,,,,,,,,
Nevada,District,,,,,,,,,,,,,,,,,
New Hampshire,Superior,,,,,,,,,,,,,,,,,
New Jersey,Superior,,,,,,,,,,,,,,,,,
New Mexico,District,,,,,,,,,,,,,,,,,
New York,Supreme and County,,,,,,,,,,,,,,,,,
North Carolina,Superior,,,,,,,,,,,,,,,,,
North Dakota,District,,felony,1840,,3614,,3294,,2303,3571,4240,4144,4650,4859,4075,4049,3833
Ohio,Court of Common Pleas,,,,,,,,,,,,,,,,,
Oklahoma,District,,,,,,,,,,,,,,,,,
Oregon,Circuit,,,,,,,,,,,,,,,,,
Pennsylvania,Court of Common Pleas,,,,,,,,,,,,,,,,,
Puerto Rico,Court of First Instance,,,,,,,,,,,,,,,,,
Rhode Island,Superior,,,,,,,,,,,,,,,,,
South Dakota,Circuit,,,,,,,,,,,,,,,,,
Tennessee,Circuit Criminal and Chancery,,,,,,,,,,,,,,,,,
Texas,District,yes,ending Aug 31. All criminal Cases.,208718,201471,204227,213667,215958,210494,222882,211444,228319,249323,254257,263985,270606,285021,276423
Utah,District,,,,,,,,,,,,,,,,,
Vermont,District,,,,,,,,,,,,,,,,,
Vermont,Superior,,,,,,,,,,,,,,,,,
Virginia,Circuit,,,,,,,,,,,,,,,,,
Washington,Superior,,,,,,,,,,,,,,,,,
West Virginia,Circuit,,,,,,,,,,,,,,,,,
Wisconsin,Circuit,,,,,,,,,,,,,,,,,
Wyoming,District,,,,,,,,,,,,,,,,,